"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\Footer.tsx", "TypeScript JSX", -14, 0, 0, 0, -2, -16
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\HeroSection.tsx", "TypeScript JSX", -54, 0, 0, 0, -3, -57
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\ImpactSection.tsx", "TypeScript JSX", -19, 0, 0, 0, -2, -21
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\LeadCaptureSection.tsx", "TypeScript JSX", -70, 0, 0, -1, -6, -77
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\ModulesSection.tsx", "TypeScript JSX", -38, 0, 0, 0, -3, -41
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\NavBar.tsx", "TypeScript JSX", -44, 0, 0, 0, -5, -49
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\ObjectionSection.tsx", "TypeScript JSX", -16, 0, 0, 0, -2, -18
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\PlansSection.tsx", "TypeScript JSX", -73, 0, 0, 0, -4, -77
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\ProblemSection.tsx", "TypeScript JSX", -35, 0, 0, 0, -2, -37
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\SolutionSection.tsx", "TypeScript JSX", -16, 0, 0, 0, -2, -18
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\WhatsAppFAB.tsx", "TypeScript JSX", -15, 0, 0, 0, -3, -18
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\landing\WhatsAppServiceSection.tsx", "TypeScript JSX", -33, 0, 0, 0, -3, -36
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\obras\NoObraState.tsx", "TypeScript JSX", -35, 0, 0, 0, -4, -39
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\ABCTable.tsx", "TypeScript JSX", -130, 0, 0, 0, -15, -145
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\AcoesPrioritarias.tsx", "TypeScript JSX", -102, 0, 0, 0, -12, -114
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\AgendaTimelineView.tsx", "TypeScript JSX", -100, 0, 0, 0, -10, -110
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\CostPieChart.tsx", "TypeScript JSX", -146, 0, 0, -1, -13, -160
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\components\painel\CronogramaPagamentos.tsx", "TypeScript JSX", -223, 0, 0, -8, -20, -251
