"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON with Comments", "JSON", "SQLite", "Markdown", "Dotenv", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\CommandPaletteContext.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\CompanyContext.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 45
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\CustoRealContext.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\OrcamentoContext.tsx", "TypeScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 118
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\contexts\SuprimentosContext.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 37, 238
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\data\demoSeeder.ts", "TypeScript", -2756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, -167, -2982
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\data\seedOrcamentos.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useCotacaoCategorias.ts", "TypeScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 114
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useCronograma.ts", "TypeScript", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 257
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useEtapaDependencias.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 156
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useGanttDependencies.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useOrcamentoParaCronograma.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 82
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useOrcamentoUndo.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 67
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\hooks\useRecursos.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 114
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\index.css", "CSS", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, -1, 3, 47
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\integrations\supabase\untyped.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\normalizeText.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\planilha\exportCotacao.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 72
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\planilha\importCotacao.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 79
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\sinapi\buscarComposicoes.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\sinapi\expandComposicao.ts", "TypeScript", -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, -24, -88
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\lib\sinapi\listarGrupos.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -27
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\AgendaObraPage.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\CotacaoPublicaPage.tsx", "TypeScript JSX", 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 342
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\CronogramaPage.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 61
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\CustoRealPage.tsx", "TypeScript JSX", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -2
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\ExecucaoCentral.tsx", "TypeScript JSX", 0, 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 307
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\FornecedoresPage.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 89
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\InsumosPage.tsx", "TypeScript JSX", 0, 376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 421
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 42
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\OrcamentoCentral.tsx", "TypeScript JSX", 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 39, 419
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\OrcamentoPage(ORIGINAL).tsx", "TypeScript JSX", 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 318
"c:\Users\henri\OneDrive\Área de Trabalho\meu-obra-main\obra-conectada-main\src\pages\OrcamentoPage.tsx", "TypeScript JSX", 0, -287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -312
